name,state,lat,lon
Grenora,ND,48.61988,-103.936673
Gwinner,ND,46.231045,-97.656093
Hague,ND,46.028891,-99.999106
Halliday,ND,47.352023,-102.338829
Hamberg,ND,47.763346,-99.515963
Hamilton,ND,48.807982,-97.451735
Hampden,ND,48.539598,-98.654317
Hankinson,ND,46.073987,-96.891008
Hannaford,ND,47.314181,-98.188941
Hannah,ND,48.972884,-98.690294
Hansboro,ND,48.952448,-99.380239
Harmon,ND,46.954361,-100.956967
Harvey,ND,47.778228,-99.930691
Harwood,ND,46.977008,-96.881035
Hatton,ND,47.636967,-97.458289
Havana,ND,45.954234,-97.618496
Haynes,ND,45.973911,-102.471008
Hazelton,ND,46.485724,-100.281089
Hazen,ND,47.298417,-101.624823
Hebron,ND,46.902416,-102.0447
Heil,ND,46.389194,-101.701151
Heimdal,ND,47.792654,-99.652695
Hettinger,ND,46.003521,-102.634613
Hillsboro,ND,47.402972,-97.063463
Hoople,ND,48.535789,-97.638868
Hope,ND,47.324377,-97.719203
Horace,ND,46.75695,-96.911325
Hunter,ND,47.190113,-97.213811
Hurdsfield,ND,47.447183,-99.930386
Inkster,ND,48.151251,-97.64415
Jamestown,ND,46.905851,-98.693579
Jessie,ND,47.54019,-98.229147
Jud,ND,46.525772,-98.897552
Karlsruhe,ND,48.091045,-100.616207
Kathryn,ND,46.681174,-97.970358
Kenmare,ND,48.672812,-102.07203
Kensal,ND,47.300033,-98.732106
Kief,ND,47.858986,-100.514172
Killdeer,ND,47.368751,-102.746201
Kindred,ND,46.649379,-97.01694
Knox,ND,48.343948,-99.691112
Kramer,ND,48.691031,-100.70765
Kulm,ND,46.301947,-98.946607
Lakota,ND,48.042868,-98.346767
LaMoure,ND,46.357417,-98.296541
Landa,ND,48.895855,-100.911987
Langdon,ND,48.762209,-98.375265
Lankin,ND,48.31467,-97.920258
Lansford,ND,48.626952,-101.375891
Larimore,ND,47.909065,-97.627004
Larson,ND,48.891574,-102.862564
Lawton,ND,48.303341,-98.367869
Leal,ND,47.104916,-98.315527
Leeds,ND,48.287207,-99.434292
Lehr,ND,46.282395,-99.352929
Leith,ND,46.364925,-101.641415
Leonard,ND,46.65229,-97.249944
Lidgerwood,ND,46.073704,-97.145151
Lignite,ND,48.877169,-102.564428
Lincoln,ND,46.768934,-100.697738
Linton,ND,46.268675,-100.232894
Lisbon,ND,46.438986,-97.684415
Litchville,ND,46.656563,-98.191701
Logan,ND,48.15956,-101.175557
Loma,ND,48.637732,-98.525696
Long Creek,ND,48.100963,-103.254588
Loraine,ND,48.868354,-101.567889
Ludden,ND,46.00797,-98.124794
Luverne,ND,47.251424,-97.934817
McClusky,ND,47.483989,-100.442533
McGregor,ND,48.595563,-102.92801
McHenry,ND,47.576405,-98.590996
McLeod,ND,46.388675,-97.298694
McVille,ND,47.765116,-98.175442
Maddock,ND,47.962387,-99.529294
Makoti,ND,47.96333,-101.802908
Mandan,ND,46.829484,-100.88706
Mandaree,ND,47.745108,-102.697582
Manning,ND,47.231035,-102.770375
Mantador,ND,46.165495,-96.977851
Manvel,ND,48.072782,-97.177929
Mapleton,ND,46.891531,-97.053257
Marion,ND,46.611226,-98.338706
Marmarth,ND,46.301219,-103.934594
Martin,ND,47.82677,-100.115302
Max,ND,47.82042,-101.291106
Maxbass,ND,48.722447,-101.142365
Mayville,ND,47.498184,-97.326354
Medina,ND,46.89384,-99.299885
Medora,ND,46.911261,-103.526517
Menoken,ND,46.81442,-100.530479
Mercer,ND,47.490606,-100.71114
Michigan City,ND,48.02442,-98.12012
Milnor,ND,46.260673,-97.455237
Milton,ND,48.626006,-98.045964
Minnewaukan,ND,48.071697,-99.253831
Minot,ND,48.236125,-101.277533
Minot AFB,ND,48.419002,-101.336503
Minto,ND,48.29241,-97.373046
Mohall,ND,48.765979,-101.516386
Monango,ND,46.173406,-98.595175
Montpelier,ND,46.698966,-98.588464
Mooreton,ND,46.268931,-96.875777
Mott,ND,46.374402,-102.318897
Mountain,ND,48.684305,-97.864807
Munich,ND,48.673375,-98.838749
Mylo,ND,48.635841,-99.617921
Napoleon,ND,46.503929,-99.768332
Nash,ND,48.477824,-97.524453
Neche,ND,48.983043,-97.551699
Nekoma,ND,48.578209,-98.376132
Newburg,ND,48.713878,-100.91264
New England,ND,46.540817,-102.866962
New Leipzig,ND,46.375768,-101.951599
New Rockford,ND,47.679617,-99.137698
New Salem,ND,46.84305,-101.417941
New Town,ND,47.989075,-102.488305
Niagara,ND,48.001008,-97.876993
Nome,ND,46.675796,-97.816255
Noonan,ND,48.890332,-103.010287
North River,ND,46.95048,-96.803335
Northwood,ND,47.731424,-97.565226
Oakes,ND,46.139704,-98.087123
Oberon,ND,47.923886,-99.205611
Oriska,ND,46.931117,-97.790539
Orrin,ND,48.090938,-100.167109
Osnabrock,ND,48.670163,-98.149397
Overly,ND,48.681139,-100.15102
Oxbow,ND,46.6647,-96.820793
Page,ND,47.15919,-97.568131
Palermo,ND,48.338395,-102.228928
Park River,ND,48.391059,-97.742678
Parshall,ND,47.959506,-102.133804
Pekin,ND,47.791911,-98.32777
Pembina,ND,48.967087,-97.246861
Perth,ND,48.714723,-99.458124
Petersburg,ND,48.017504,-98.000641
Pettibone,ND,47.117068,-99.520816
Pick City,ND,47.511001,-101.457304
Pillsbury,ND,47.207123,-97.795691
Pingree,ND,47.163823,-98.908563
Pisek,ND,48.310644,-97.71028
Plaza,ND,48.026289,-101.958725
Porcupine,ND,46.221838,-101.100104
Portal,ND,48.994384,-102.548395
Portland,ND,47.499511,-97.369306
Powers Lake,ND,48.564022,-102.645625
Prairie Rose,ND,46.817121,-96.835395
Raleigh,ND,46.357143,-101.305383
Ray,ND,48.33542,-103.173266
Reeder,ND,46.105926,-102.942164
Regan,ND,47.156794,-100.527298
Regent,ND,46.422197,-102.558052
Reile's Acres,ND,46.929064,-96.870046
Reynolds,ND,47.668529,-97.105968
Rhame,ND,46.234649,-103.654982
Richardton,ND,46.881347,-102.333179
Riverdale,ND,47.496757,-101.367049
Robinson,ND,47.142062,-99.781332
Rocklake,ND,48.79016,-99.245898
Rogers,ND,47.074031,-98.203127
Rolette,ND,48.660897,-99.841675
Rolla,ND,48.843618,-99.609353
Ross,ND,48.312775,-102.543509
Rugby,ND,48.365422,-99.990223
Ruso,ND,47.837332,-100.934268
Ruthville,ND,48.370814,-101.300234
Rutland,ND,46.054343,-97.506801
Ryder,ND,47.921237,-101.670433
St. John,ND,48.943766,-99.713096
St. Thomas,ND,48.619236,-97.447107
Sanborn,ND,46.942793,-98.223812
Sarles,ND,48.944967,-98.996881
Sawyer,ND,48.089458,-101.053314
Scranton,ND,46.149479,-103.142977
Selfridge,ND,46.041682,-100.924357
Selz,ND,47.859404,-99.893412
Sentinel Butte,ND,46.91944,-103.84059
Sharon,ND,47.597181,-97.898719
Sheldon,ND,46.588491,-97.494382
Shell Valley,ND,48.808616,-99.827101
Sherwood,ND,48.961867,-101.632802
Sheyenne,ND,47.827287,-99.116832
Sibley,ND,47.218602,-97.965306
Solen,ND,46.387312,-100.795647
Souris,ND,48.909959,-100.682648
South Heart,ND,46.868131,-102.990532
Spiritwood,ND,46.934282,-98.493296
Spiritwood Lake,ND,47.079627,-98.58595
Springbrook,ND,48.252114,-103.461679
Stanley,ND,48.313784,-102.397321
Stanton,ND,47.318483,-101.381965
Starkweather,ND,48.452084,-98.878441
Steele,ND,46.856801,-99.918125
Strasburg,ND,46.133523,-100.160756
Streeter,ND,46.657618,-99.356818
Surrey,ND,48.242966,-101.12833
Sutton,ND,47.403796,-98.441035
Sykeston,ND,47.466071,-99.399315
Tappen,ND,46.871603,-99.627096
Taylor,ND,46.902205,-102.422874
Thompson,ND,47.774612,-97.104357
Tioga,ND,48.394617,-102.94349
Tolley,ND,48.730301,-101.827083
Tolna,ND,47.825699,-98.438164
Tower City,ND,46.926308,-97.676035
Towner,ND,48.34712,-100.406984
Trenton,ND,48.069923,-103.843153
Turtle Lake,ND,47.521482,-100.890799
Tuttle,ND,47.144491,-99.993404
Underwood,ND,47.456385,-101.141217
Upham,ND,48.58155,-100.728432
Valley City,ND,46.922573,-98.004137
Velva,ND,48.058193,-100.932887
Venturia,ND,45.996856,-99.548331
Verona,ND,46.362629,-98.07715
Voltaire,ND,48.018671,-100.844006
Wahpeton,ND,46.272083,-96.612203
Walcott,ND,46.550472,-96.93755
Wales,ND,48.893432,-98.599177
Walhalla,ND,48.92103,-97.916991
Warwick,ND,47.853087,-98.705875
Washburn,ND,47.294045,-101.027796
Watford City,ND,47.801492,-103.266731
West Fargo,ND,46.85638,-96.904809
Westhope,ND,48.911176,-101.01771
Wheatland,ND,46.904897,-97.345483
White Earth,ND,48.379868,-102.771755
White Shield,ND,47.660158,-101.843561
Wildrose,ND,48.629953,-103.183693
Williston,ND,48.189496,-103.649117
Willow City,ND,48.604691,-100.293311
Wilton,ND,47.157997,-100.783985
Wimbledon,ND,47.169067,-98.458629
Wing,ND,47.142266,-100.282318
Wishek,ND,46.255615,-99.554482
Wolford,ND,48.497483,-99.703815
Woodworth,ND,47.142169,-99.304151
Wyndmere,ND,46.264128,-97.131182
York,ND,48.313243,-99.573257
Ypsilanti,ND,46.783359,-98.560988
Zap,ND,47.285093,-101.923718
Zeeland,ND,45.972944,-99.832442
Aberdeen,SD,45.464678,-98.468104
Agar,SD,44.839735,-100.07345
Agency Village,SD,45.581339,-97.072037
Akaska,SD,45.331026,-100.120861
Albee,SD,45.051287,-96.553535
Alcester,SD,43.027607,-96.626844
Alexandria,SD,43.654039,-97.779917
Allen,SD,43.279136,-101.92651
Alpena,SD,44.183378,-98.368362
Altamont,SD,44.84078,-96.690152
Anderson,SD,43.519435,-96.614197
Andover,SD,45.410217,-97.903706
Angostura,SD,43.318924,-103.390707
Antelope,SD,43.309667,-100.62992
Ardmore,SD,43.019192,-103.654266
Arlington,SD,44.363514,-97.133822
Armour,SD,43.319339,-98.344149
Artas,SD,45.887226,-99.806799
Artesian,SD,44.007895,-97.923709
Ashland Heights,SD,44.133411,-103.123712
Ashton,SD,44.993056,-98.499111
Astoria,SD,44.557732,-96.546499
Aurora,SD,44.283314,-96.682869
Aurora Center,SD,43.527155,-98.589466
Avon,SD,43.005203,-98.059262
Badger,SD,44.485502,-97.207868
Baltic,SD,43.760051,-96.736898
Bancroft,SD,44.489368,-97.750501
Batesland,SD,43.127142,-102.101851
Bath,SD,45.469158,-98.323562
Bath Corner,SD,45.462689,-98.332896
Belle Fourche,SD,44.663798,-103.859143
Belvidere,SD,43.832224,-101.271118
Beresford,SD,43.079646,-96.780224
Big Stone City,SD,45.308728,-96.472606
Bijou Hills,SD,43.528479,-99.143858
Bison,SD,45.52355,-102.467716
Blackhawk,SD,44.15138,-103.334003
Blucksberg Mountain,SD,44.359344,-103.453787
Blumengard Colony,SD,45.241538,-99.169977
Blunt,SD,44.51594,-99.988556
Bonesteel,SD,43.077503,-98.946762
Bon Homme Colony,SD,42.864698,-97.705191
Boulder Canyon,SD,44.397099,-103.604611
Bowdle,SD,45.451258,-99.656501
Box Elder,SD,44.110941,-103.081066
Bradley,SD,45.090408,-97.641945
Brandon,SD,43.592908,-96.583769
Brandt,SD,44.666933,-96.625156
Brant Lake,SD,43.930827,-96.943534
Brant Lake South,SD,43.91086,-96.940771
Brentford,SD,45.159204,-98.322555
Brentwood Colony,SD,45.154795,-99.302168
Bridger,SD,44.542142,-101.913642
Bridgewater,SD,43.55021,-97.498384
Bristol,SD,45.343778,-97.744959
Britton,SD,45.792371,-97.75289
Broadland,SD,44.493825,-98.346556
Brookings,SD,44.303364,-96.787339
Bruce,SD,44.437787,-96.890642
Bryant,SD,44.589903,-97.467281
Buffalo,SD,45.586374,-103.54345
Buffalo Gap,SD,43.492163,-103.315291
Bullhead,SD,45.772788,-101.081389
Burbank,SD,42.74608,-96.832718
Burke,SD,43.182821,-99.292304
Bushnell,SD,44.327409,-96.642346
Butler,SD,45.261992,-97.71161
Cameron Colony,SD,43.187805,-97.262696
Camp Crook,SD,45.550073,-103.974931
Camrose Colony,SD,44.934285,-98.220169
Canistota,SD,43.597757,-97.292582
Canova,SD,43.881257,-97.503958
Canton,SD,43.30313,-96.585577
Caputa,SD,43.996035,-102.984619
Carthage,SD,44.1648,-97.72028
Castlewood,SD,44.724158,-97.03092
Cavour,SD,44.369329,-98.042096
Cedar Grove Colony,SD,43.531623,-98.806421
Centerville,SD,43.116535,-96.959477
Central City,SD,44.368578,-103.770511
Chamberlain,SD,43.798663,-99.329584
Chancellor,SD,43.37184,-96.987274
Chelsea,SD,45.167557,-98.743376
Cherry Creek,SD,44.604741,-101.499298
Chester,SD,43.899587,-96.927819
Claire City,SD,45.856619,-97.103531
Claremont,SD,45.671419,-98.015617
Claremont Colony,SD,44.712909,-96.951236
Clark,SD,44.880911,-97.734839
Clark Colony,SD,44.791361,-97.981454
Clearfield Colony,SD,43.143876,-98.142073
Clear Lake,SD,44.75629,-96.690239
Clear Lake,SD,45.70436,-97.355801
Cloverleaf Colony,SD,44.183904,-97.538334
Collins Colony,SD,44.547767,-97.701267
Colman,SD,43.983473,-96.814745
Colome,SD,43.259904,-99.717268
Colonial Pine Hills,SD,44.013742,-103.314912
Colton,SD,43.787501,-96.928552
Columbia,SD,45.614824,-98.31064
Conde,SD,45.157301,-98.095456
Corn Creek,SD,43.575749,-101.208522
Corona,SD,45.335225,-96.764581
Corsica,SD,43.422183,-98.40745
Cottonwood,SD,43.970396,-101.904083
Cow Creek,SD,44.549327,-100.467967
Cresbard,SD,45.16941,-98.947658
Crocker,SD,45.114064,-97.770814
Crook City,SD,44.438089,-103.643409
Crooks,SD,43.654796,-96.806813
Custer,SD,43.766732,-103.599636
Dakota Dunes,SD,42.490311,-96.483992
Dallas,SD,43.237834,-99.517511
Dante,SD,43.039967,-98.185533
Davis,SD,43.259528,-96.994506
Deadwood,SD,44.387048,-103.720742
Deerfield Colony,SD,45.587368,-98.899548
Dell Rapids,SD,43.824824,-96.71459
Delmont,SD,43.266638,-98.159153
De Smet,SD,44.386148,-97.549688
Dimock,SD,43.477376,-97.987137
Doland,SD,44.894491,-98.099854
Dolton,SD,43.491093,-97.384798
Draper,SD,43.926161,-100.53718
Dudley,SD,43.308156,-103.819218
Dupree,SD,45.049479,-101.601316
Eagle Butte,SD,44.994388,-101.231758
Eden,SD,45.616766,-97.419712
Edgemont,SD,43.297362,-103.832336
Egan,SD,44.000333,-96.648538
Elk Point,SD,42.681224,-96.68048
Elkton,SD,44.235074,-96.479409
Emery,SD,43.602,-97.619494
Enemy Swim,SD,45.429367,-97.286856
Erwin,SD,44.488024,-97.440858
Estelline,SD,44.576766,-96.901082
Ethan,SD,43.546305,-97.983399
Eureka,SD,45.771153,-99.620686
Evergreen Colony,SD,45.12171,-99.042528
Fairburn,SD,43.686941,-103.208692
Fairfax,SD,43.028049,-98.888945
Fairview,SD,43.222028,-96.487402
Faith,SD,45.025776,-102.036343
Farmer,SD,43.725301,-97.68905
Faulkton,SD,45.034155,-99.126732
Fedora,SD,44.006667,-97.789562
Ferney,SD,45.334553,-98.093868
Flandreau,SD,44.045458,-96.601772
Florence,SD,45.054789,-97.326313
Fordham Colony,SD,44.767701,-97.906933
Forestburg,SD,44.021201,-98.103233
Fort Pierre,SD,44.366596,-100.382329
Fort Thompson,SD,44.054922,-99.404829
Frankfort,SD,44.877664,-98.309239
Frederick,SD,45.831883,-98.506703
Freeman,SD,43.347525,-97.430791
Fruitdale,SD,44.669209,-103.69547
Fulton,SD,43.72883,-97.822628
Gann Valley,SD,44.033506,-98.988421
Garden City,SD,44.959263,-97.580412
Garretson,SD,43.714831,-96.503307
Gary,SD,44.794175,-96.457096
Gayville,SD,42.888933,-97.173726
Geddes,SD,43.254039,-98.697359
Gettysburg,SD,45.005982,-99.953904
Glendale Colony,SD,44.797979,-98.286852
Glenham,SD,45.532994,-100.271118
Golden View Colony,SD,43.695418,-97.443644
Goodwin,SD,44.877514,-96.849701
Graceville Colony,SD,43.92886,-97.284002
Grassland Colony,SD,45.668242,-98.796458
Grass Ranch Colony,SD,43.650011,-98.883619
Green Grass,SD,45.156622,-101.286973
Green Valley,SD,44.038969,-103.111585
Greenwood Colony,SD,43.214478,-98.153624
Gregory,SD,43.229989,-99.420863
Grenville,SD,45.466992,-97.390231
Groton,SD,45.451677,-98.100076
Hamill,SD,43.594048,-99.693197
Harrisburg,SD,43.434258,-96.712429
Harrison,SD,43.431129,-98.526711
Harrold,SD,44.525781,-99.741644
Hartford,SD,43.61954,-96.936994
Hayti,SD,44.658921,-97.204624
Hazel,SD,44.758225,-97.380991
Hecla,SD,45.882139,-98.1519
Henry,SD,44.880856,-97.461557
Hermosa,SD,43.83987,-103.190531
Herreid,SD,45.837808,-100.074684
Herrick,SD,43.115017,-99.188214
Hetland,SD,44.377229,-97.23467
Highmore,SD,44.52137,-99.439332
Hill City,SD,43.931815,-103.568736
Hillcrest Colony,SD,44.942469,-97.667189
Hillside Colony,SD,44.73832,-98.047318
Hillsview,SD,45.661968,-99.560659
Hitchcock,SD,44.629367,-98.408206
Horse Creek,SD,43.532965,-100.741923
Hosmer,SD,45.578787,-99.473642
Hot Springs,SD,43.41953,-103.465089
Hoven,SD,45.241615,-99.777521
Howard,SD,44.011656,-97.524566
Hudson,SD,43.130108,-96.455618
Humboldt,SD,43.64494,-97.07452
Hurley,SD,43.279327,-97.089437
Huron,SD,44.362341,-98.209571
Huron Colony,SD,44.563437,-98.205468
Hutterville Colony,SD,45.266322,-98.211516
Ideal,SD,43.540003,-99.921751
Interior,SD,43.727274,-101.983298
Ipswich,SD,45.443459,-99.029995
Irene,SD,43.083705,-97.157586
Iroquois,SD,44.367859,-97.849532
Isabel,SD,45.393744,-101.431515
Jamesville Colony,SD,43.101534,-97.481777
Java,SD,45.503819,-99.883882
Jefferson,SD,42.604266,-96.566089
Johnson Siding,SD,44.084565,-103.437985
Kadoka,SD,43.828613,-101.501241
Kaylor,SD,43.193624,-97.844102
Kenel,SD,45.854496,-100.459222
Kennebec,SD,43.903477,-99.862001
Keystone,SD,43.894939,-103.426809
Kidder,SD,45.88171,-97.713849
Kimball,SD,43.746962,-98.956559
Kranzburg,SD,44.888855,-96.909348
Kyle,SD,43.42475,-102.179586
La Bolt,SD,45.049038,-96.675163
Lake Andes,SD,43.156041,-98.537287
Lake City,SD,45.724753,-97.414023
Lake Madison,SD,43.955116,-97.026614
Lake Norden,SD,44.580057,-97.211569
Lake Poinsett,SD,44.572462,-97.108429
Lake Preston,SD,44.361663,-97.375992
Lakeview Colony,SD,43.220202,-98.456374
Lane,SD,44.069689,-98.42462
Langford,SD,45.602279,-97.830224
Lantry,SD,45.018387,-101.432875
La Plant,SD,45.128207,-100.640898
Lead,SD,44.352762,-103.767111
Lebanon,SD,45.068784,-99.76638
Lemmon,SD,45.93835,-102.159803
Lennox,SD,43.34951,-96.893689
Leola,SD,45.721139,-98.938466
Lesterville,SD,43.038603,-97.590613
Letcher,SD,43.900282,-98.146357
Little Eagle,SD,45.68507,-100.794794
Long Hollow,SD,45.683459,-97.158649
Long Lake,SD,45.856661,-99.205788
Long Lake Colony,SD,45.602553,-98.826007
Loomis,SD,43.792945,-98.104094
Lower Brule,SD,44.074134,-99.583754
Lowry,SD,45.315584,-99.981154
Lyons,SD,43.724889,-96.866168
McIntosh,SD,45.921044,-101.348558
McLaughlin,SD,45.813307,-100.810682
Madison,SD,44.006223,-97.108481
Manderson-White Horse Creek,SD,43.235039,-102.491511
Mansfield,SD,45.24648,-98.558154
Marion,SD,43.423571,-97.260549
Martin,SD,43.174875,-101.732315
Marty,SD,42.996489,-98.430196
Marvin,SD,45.260507,-96.915387
Maverick Junction,SD,43.40874,-103.395888
Maxwell Colony,SD,43.18244,-97.635148
Mayfield Colony,SD,44.694186,-97.581162
Meadow View Addition,SD,43.623712,-96.701189
Meckling,SD,42.840115,-97.06724
Mellette,SD,45.154391,-98.498355
Menno,SD,43.238489,-97.577437
Midland,SD,44.071067,-101.155442
Milbank,SD,45.219432,-96.633696
Millbrook Colony,SD,43.668098,-97.871005
Miller,SD,44.520028,-98.986177
Millerdale Colony,SD,44.397422,-99.110278
Milltown,SD,43.424753,-97.810895
Mina,SD,45.454528,-98.73919
Mission,SD,43.306273,-100.660908
Mission Hill,SD,42.920757,-97.279053
Mitchell,SD,43.727072,-98.042192
Mobridge,SD,45.540961,-100.434905
Monroe,SD,43.486533,-97.216671
Montrose,SD,43.699771,-97.184405
Morningside,SD,44.367629,-98.181393
Morristown,SD,45.938622,-101.71883
Mound City,SD,45.726179,-100.068837
Mountain Plains,SD,44.467003,-103.863573
Mount Vernon,SD,43.712676,-98.261186
Murdo,SD,43.889361,-100.714156
Naples,SD,44.771645,-97.513038
Newdale Colony,SD,44.290013,-96.524318
New Effington,SD,45.857577,-96.915005
Newell,SD,44.717454,-103.418329
New Elm Spring Colony,SD,43.48918,-97.828377
New Holland,SD,43.428675,-98.607331
Newport Colony,SD,45.679083,-97.932789
New Underwood,SD,44.097541,-102.846862
New Witten,SD,43.440641,-100.081957
Nisland,SD,44.673046,-103.553842
Norfeld Colony,SD,44.423263,-96.55617
Norris,SD,43.472289,-101.192798
North Eagle Butte,SD,45.021502,-101.230904
North Sioux City,SD,42.530926,-96.499552
North Spearfish,SD,44.510715,-103.904497
Northville,SD,45.155384,-98.579325
Nunda,SD,44.159852,-97.019394
Oacoma,SD,43.804516,-99.366082
